销售名,群聊名,顾客名,顾客发送消息,销售回复消息,回复时长（分钟）,回复日期,回复日期点,消息 ID
董森,网易严选,小圆圆,为啥菲菲这个账号群发会卡住,"其实菲菲的就卡住了一次，导致后面的群发也都进行不下去的[捂脸]
现阶段，直接重启下账号就可以发出去哈",2.03,11/22/2021,12:24:49 PM,1039610
董森,上海谨务汽车技术咨询有限公司,童话,@董森 聊天对话框中，图片放大查看后，弹框如何消失？,右上角有个小×进行关闭哈,8.47,11/23/2021,2:51:26 PM,1041636
董森,流利说,徐伟,"Hi. 我们和销售侧确认了测试计划，目前会分两批来测试

11.30 需要2个账号参与测试
12.8 需要5个账号参与测试

测试账号能帮忙协调开放一下么？ 

另外 我们还在协调培训时间 可能需要你们帮忙完成工具使用的培训

@@董森 ","""Arbiter：
Hi. 我们和销售侧确认了测试计划，目前会分两批来测试

11.30 需要2个账号参与测试
12.8 需要5个账号参与测试

测试账号能帮忙协调开放一下么？ 

另外 我们还在协调培训时间 可能需要你们帮忙完成工具使用的培训

@董森 ""
------
@徐伟  
好的，那咱们约个时间开通下后台，正好一起培训下系统使用呢",3.80,11/23/2021,2:40:37 PM,1041543
董森,流利说,徐伟,这块@@刘昭政(Nathan(内森)) 辛苦帮忙确定一下,"""Nathan(内森)：
@董森  今天可以吗？""
------
@刘昭政  
可以的，开通账号需要超管账号哈",4.40,11/23/2021,2:45:25 PM,1041573
董森,流利说,陈剑奇,我这边可以,使用手册：https://k0auuqcihb.feishu.cn/docs/doccnJMlpBUC1NAHW7ujCXVxaUB,2.80,11/23/2021,2:53:47 PM,1041648
董森,流利说,刘昭政,"""董森：
那咱们暂定15:30-16:30哈，到时候我提前发腾讯会议链接哈""
------
@董森  好的","董森 邀请您参加腾讯会议
会议主题：董森的快速会议
会议时间：2021/11/23 15:22-16:22 (GMT+08:00) 

点击链接直接加入会议：
https://meeting.tencent.com/dm/FMMSANykIUq9

#腾讯会议：415-161-091
@刘昭政  @陈剑奇  咱们在这里哈",28.60,11/23/2021,3:26:26 PM,1041775
董森,流利说,刘昭政,好的,"""Nathan(内森)：
@董森  我们已经在会议室里了""
------
@刘昭政  我听不到您讲话哈",7.70,11/23/2021,3:35:25 PM,1041814
张佳,麻雀小样,江湖小麻雀,@张佳  佳哥你好，我前两天因为手臂摔伤了在治疗，有点耽搁了回复，我今天已经仔细的看了您给的方案了。 我想我们有时间的话可否通个语音,邵总今天在做活动 估计做完会比较晚了 咱们明天电话吧,124.20,11/22/2021,7:00:05 PM,1040366
曹啸,泡泡玛特,李成龙,OK,稍等,1194.37,11/23/2021,2:59:37 PM,1041669
曹啸,泡泡玛特,Abyss,刚刚用我自己这个号测试了下 ,我们 话术库变更过素材吗？,2.28,11/23/2021,3:03:45 PM,1041690
曹啸,泡泡玛特,Abyss,,看到了 稍等 正在然技术排查,10.32,11/23/2021,3:15:59 PM,1041764
宋宗强,句子互动&诺亚财富私有化部署沟通群,Along,这个回调如果失败了，要返回什么,稍等  我反馈下,6.38,11/22/2021,10:17:33 AM,1039273
宋宗强,句子互动&诺亚财富私有化部署沟通群,龚兆资丿月月,上周五到现在还没有解决的问题,好的,3.23,11/22/2021,10:20:53 AM,1039282
宋宗强,句子互动&诺亚财富私有化部署沟通群,Along,如果是分页的话，最后一页之前的请求 这个isCreate返回的什么呢,@技术支持  是我们的技术支持同事，辛苦来看一下上面的问题哈,4.72,11/22/2021,10:44:31 AM,1039374
技术支持,句子互动&诺亚财富私有化部署沟通群,Along,分页请求的时候 是只在最后一页判断isCreate吗,isCreated是群发的真实状态，由hasMore和群发的基础判断组合而成（比如素材数大于1，群发人数大于1）。是这个群发任务的真实状态,3.05,11/22/2021,10:52:31 AM,1039407
技术支持,句子互动&诺亚财富私有化部署沟通群,Along,那就是只有正常请求正常创建任务，最后一页请求（hasMore为false或者不传）的时候，isCreated才会返回true,哥，咱们可以自己测试一下吗？只有在haseMore,10.52,11/22/2021,11:20:29 AM,1039485
