Name,Room,Customer Name,Customer Fisrt Message,Sales Reply Message,Reply Time (min),Message Time,Message ID
董森,句子互动服务群-网易严选,ggoba,,"""ggoba：
[图片]""
------
@ggoba  
这是哪一个群发任务呢？",134.52,10:06:36 AM,1036952
董森,句子互动服务群-网易严选,ggoba,十一点,是哪个账号，发到哪个群的呢？我看昨晚的群发，在23:14就全部发完了,14.68,10:22:00 AM,1037109
董森,句子互动服务群-网易严选,ggoba,不是的  还有一条,好的,25.87,11:28:44 AM,1037350
董森,句子互动服务群-网易严选,ggoba,,"""ggoba：
[图片]""
------
@ggoba  这个已经和技术确认了哈，是因为当时企业微信卡住导致群发变慢的，在这些时间段内，咱们是有做什么特殊的动作吗？",2.67,3:20:38 PM,1037868
董森,句子互动服务群-网易严选,ggoba,没有的,好的，我看下哈,28.17,3:49:00 PM,1037945
董森,句子互动服务群-网易严选,ggoba,麻烦加急下哈,嗯嗯，好的哈，已经再让技术查看,3.98,3:56:17 PM,1037963
董森,句子互动服务群-网易严选,ggoba,什么时候能有结果,"""ggoba：
什么时候能有结果""
------
@ggoba  嗯嗯，技术检测是因为账号底层卡住导致的，我们这边可以做下账号迁，但现在有群发，等群发完，我好找技术迁移哈，大概迁移时间用10分钟左右的哈",4.68,5:02:15 PM,1038093
董森,句子互动服务群-网易严选,ggoba,结束了,好的，稍等哈,2.85,5:13:11 PM,1038116
董森,句子互动服务群-网易严选,ggoba,get,好嘞,6.25,5:40:17 PM,1038217
董森,句子互动服务群-网易严选,ggoba,okk,嗯嗯,2.55,6:28:40 PM,1038340
董森,句子互动服务群-曹操出行,G,福利官小曹81号 有个群发一直没发出，需要重启@董森 [皱眉],好的，我来操作,6.43,1:53:27 PM,1037709
曹啸,句子互动服务群-泡泡玛特,Abyss,10、8号卡住了 辛苦看下,稍等,3.12,2:09:06 PM,1037751
曹啸,句子互动服务群-泡泡玛特,Pxtzzz,"泡泡星球罗盘座-星系87
泡泡星球罗盘座-星系94
泡泡星球罗盘座-星系93
泡泡星球罗盘座-星系92
泡泡星球罗盘座-星系84","""Stan the Man：
另外 昨天晚上是否有发版 是否发送卡顿的问题已经彻底解决""
------
@Stan the Man  老师 群发重构版本还未上线，现在正在测试。",8.05,3:58:30 PM,1037977
曹啸,句子互动服务群-泡泡玛特,金,今天18点以后就没有消息推送了，现在就可以做迁移,稍后我们给账号迁移一下,14.25,6:58:12 PM,1038367
曹啸,句子互动服务群-泡泡玛特,金,好的,@金  老师 已经迁移完成了,26.32,7:25:01 PM,1038436
